date,nav_per_unit,short_name
10-10-22,24112.23,SSISCA
11-10-22,24504.68,SSISCA
12-10-22,23452.02,SSISCA
13-10-22,24232.06,SSISCA
14-10-22,24568.97,SSISCA
17-10-22,25004.82,SSISCA
18-10-22,24950.94,SSISCA
19-10-22,25083.01,SSISCA
20-10-22,25025.73,SSISCA
21-10-22,25057.18,SSISCA
24-10-22,23710.11,SSISCA
25-10-22,22612.67,SSISCA
26-10-22,23022.18,SSISCA
27-10-22,23035.91,SSISCA
28-10-22,23860.67,SSISCA
31-10-22,23803.06,SSISCA
01-11-22,23553.95,SSISCA
02-11-22,23469.09,SSISCA
03-11-22,23164.2,SSISCA
04-11-22,23253.94,SSISCA
07-11-22,22687.33,SSISCA
08-11-22,21827.99,SSISCA
09-11-22,21983.64,SSISCA
10-11-22,22024.24,SSISCA
11-11-22,20884.7,SSISCA
14-11-22,20953.48,SSISCA
15-11-22,20277.09,SSISCA
16-11-22,19102.22,SSISCA
17-11-22,20176.41,SSISCA
18-11-22,20830.46,SSISCA
21-11-22,21076.88,SSISCA
22-11-22,20928.65,SSISCA
23-11-22,20967.78,SSISCA
24-11-22,20962.0,SSISCA
25-11-22,20918.78,SSISCA
28-11-22,21504.62,SSISCA
29-11-22,22479.33,SSISCA
30-11-22,22870.13,SSISCA
01-12-22,23243.62,SSISCA
02-12-22,23276.36,SSISCA
05-12-22,24156.22,SSISCA
06-12-22,24491.37,SSISCA
07-12-22,23449.26,SSISCA
08-12-22,23385.29,SSISCA
09-12-22,23888.85,SSISCA
12-12-22,24112.12,SSISCA
13-12-22,23794.72,SSISCA
14-12-22,24165.26,SSISCA
15-12-22,24226.82,SSISCA
16-12-22,24488.22,SSISCA
19-12-22,24576.33,SSISCA
20-12-22,24305.01,SSISCA
21-12-22,23935.69,SSISCA
22-12-22,24027.57,SSISCA
23-12-22,24130.86,SSISCA
26-12-22,24120.98,SSISCA
27-12-22,23412.71,SSISCA
28-12-22,23805.13,SSISCA
29-12-22,23855.85,SSISCA
30-12-22,23727.96,SSISCA
03-01-23,23807.29,SSISCA
04-01-23,24644.1,SSISCA
05-01-23,24584.59,SSISCA
06-01-23,24820.46,SSISCA
09-01-23,24727.97,SSISCA
10-01-23,24619.04,SSISCA
11-01-23,24675.17,SSISCA
12-01-23,24849.53,SSISCA
13-01-23,24801.2,SSISCA
16-01-23,24753.42,SSISCA
17-01-23,24948.38,SSISCA
18-01-23,25490.83,SSISCA
19-01-23,25839.09,SSISCA
27-01-23,25984.33,SSISCA
30-01-23,26136.48,SSISCA
31-01-23,26030.89,SSISCA
01-02-23,26332.0,SSISCA
02-02-23,25742.33,SSISCA
03-02-23,25927.66,SSISCA
06-02-23,25674.03,SSISCA
07-02-23,25801.39,SSISCA
08-02-23,25450.1,SSISCA
09-02-23,25439.47,SSISCA
10-02-23,25389.65,SSISCA
13-02-23,25028.81,SSISCA
14-02-23,24846.51,SSISCA
15-02-23,24907.03,SSISCA
16-02-23,25078.94,SSISCA
17-02-23,25431.53,SSISCA
20-02-23,25409.3,SSISCA
21-02-23,26005.19,SSISCA
22-02-23,25896.92,SSISCA
23-02-23,25424.77,SSISCA
24-02-23,25372.73,SSISCA
27-02-23,25004.47,SSISCA
28-02-23,24519.18,SSISCA
01-03-23,24548.41,SSISCA
02-03-23,25012.59,SSISCA
03-03-23,24838.58,SSISCA
06-03-23,24518.44,SSISCA
07-03-23,24559.58,SSISCA
08-03-23,24710.0,SSISCA
09-03-23,24884.17,SSISCA
10-03-23,25123.63,SSISCA
